"Unit density","Number of transects","Transect length","_1%","_2%","_3%","_4%","_5%","_6%","_7%","_8%","_9%","_10%"
6,96,7.1,0.5132,0.1955,0.055,0.0113,0.001,1e-04,0,0,0,0
6,96,7.2,0.5236,0.1965,0.0516,0.0097,0.001,0,0,0,0,0
6,96,7.3,0.5125,0.1891,0.047,0.0089,0.0011,1e-04,0,0,0,0
6,96,7.4,0.5008,0.1931,0.052,0.0091,0.0014,1e-04,0,0,0,0
6,96,7.5,0.5101,0.1912,0.0484,0.0089,0.0011,0,0,0,0,0
6,96,7.6,0.5085,0.1946,0.0493,0.0075,8e-04,0,0,0,0,0
6,96,7.7,0.5027,0.192,0.0481,0.0083,0.0015,1e-04,0,0,0,0
6,96,7.8,0.5009,0.1835,0.0454,0.0091,0.0015,1e-04,0,0,0,0
6,96,7.9,0.502,0.1758,0.045,0.0077,4e-04,0,0,0,0,0
6,96,8,0.4971,0.1761,0.0421,0.006,3e-04,0,0,0,0,0
6,96,8.1,0.4895,0.1717,0.0396,0.0059,7e-04,0,0,0,0,0
6,96,8.2,0.491,0.1703,0.0379,0.0053,2e-04,0,0,0,0,0
6,96,8.3,0.4898,0.1607,0.0393,0.0048,5e-04,0,0,0,0,0
6,96,8.4,0.4892,0.1521,0.0361,0.006,3e-04,0,0,0,0,0
6,96,8.5,0.4891,0.1594,0.0369,0.0049,5e-04,1e-04,0,0,0,0
6,96,8.6,0.4776,0.1587,0.0326,0.0047,3e-04,0,0,0,0,0
6,96,8.7,0.477,0.1558,0.0354,0.0045,5e-04,0,0,0,0,0
6,96,8.8,0.4746,0.1538,0.0333,0.0049,6e-04,0,0,0,0,0
6,96,8.9,0.4752,0.1487,0.0316,0.0039,1e-04,0,0,0,0,0
6,96,9,0.4754,0.1546,0.0315,0.0039,2e-04,0,0,0,0,0
6,96,9.1,0.4657,0.144,0.0298,0.0043,3e-04,0,0,0,0,0
6,96,9.2,0.4652,0.1425,0.0268,0.0034,3e-04,0,0,0,0,0
6,96,9.3,0.4617,0.1405,0.0274,0.0023,2e-04,0,0,0,0,0
6,96,9.4,0.4564,0.1401,0.0252,0.0027,3e-04,1e-04,0,0,0,0
6,96,9.5,0.4577,0.1413,0.0242,0.0028,0,0,0,0,0,0
6,96,9.6,0.4592,0.1357,0.0244,0.0026,1e-04,0,0,0,0,0
6,96,9.7,0.4553,0.1342,0.024,0.0027,0,0,0,0,0,0
6,96,9.8,0.4503,0.1321,0.0251,0.0023,2e-04,0,0,0,0,0
6,96,9.9,0.447,0.1352,0.0241,0.0022,3e-04,1e-04,0,0,0,0
6,96,10,0.4449,0.1275,0.0225,0.0015,1e-04,0,0,0,0,0
6,96,10.1,0.4462,0.1292,0.0225,0.0019,1e-04,0,0,0,0,0
6,96,10.2,0.4362,0.121,0.0209,0.0017,0,0,0,0,0,0
6,96,10.3,0.4338,0.124,0.0202,0.0021,1e-04,0,0,0,0,0
6,96,10.4,0.4282,0.121,0.0209,0.0022,0,0,0,0,0,0
6,96,10.5,0.4394,0.1215,0.0207,0.0017,0,0,0,0,0,0
6,96,10.6,0.4412,0.1199,0.0167,0.0017,2e-04,0,0,0,0,0
6,96,10.7,0.4249,0.1161,0.0187,0.0013,1e-04,0,0,0,0,0
6,96,10.8,0.4276,0.1101,0.0176,9e-04,1e-04,0,0,0,0,0
6,96,10.9,0.4213,0.1128,0.0185,0.0017,0,0,0,0,0,0
6,96,11,0.4279,0.1086,0.0138,0.0017,0,0,0,0,0,0
6,96,11.1,0.4241,0.1081,0.0158,0.0013,0,0,0,0,0,0
6,96,11.2,0.4164,0.1134,0.018,0.0015,0,0,0,0,0,0
6,96,11.3,0.4215,0.1073,0.0165,0.0013,0,0,0,0,0,0
6,96,11.4,0.4166,0.104,0.0163,0.0016,0,0,0,0,0,0
6,96,11.5,0.417,0.0996,0.0144,0.0015,1e-04,0,0,0,0,0
6,96,11.6,0.4198,0.1087,0.0136,7e-04,0,0,0,0,0,0
6,96,11.7,0.4068,0.1036,0.0141,0.0016,0,0,0,0,0,0
6,96,11.8,0.4087,0.0949,0.0112,0.0012,1e-04,0,0,0,0,0
6,96,11.9,0.4117,0.1007,0.0133,0.0012,0,0,0,0,0,0
